Date,Open,High,Low,Close,Adj Close,Volume
1999-03-08,51.125000,51.734375,49.656250,50.062500,43.226990,23664200
1999-03-15,50.437500,53.250000,49.906250,51.218750,44.225384,27248600
1999-03-22,51.437500,52.468750,48.500000,51.750000,44.684086,40824200
1999-03-29,52.375000,54.187500,52.062500,53.562500,46.249111,27026800
1999-04-05,54.429688,56.250000,53.812500,55.812500,48.191898,38042400
1999-04-12,54.500000,55.906250,51.125000,51.968750,44.872993,77074600
1999-04-19,52.312500,55.718750,48.843750,55.312500,47.760174,68509600
1999-04-26,55.687500,57.281250,51.812500,53.718750,46.384048,64024000
1999-05-03,53.562500,54.375000,51.031250,52.968750,45.736439,70784600
1999-05-10,53.312500,56.000000,52.687500,53.406250,46.114208,53981800
1999-05-17,52.937500,54.992188,52.414063,52.875000,45.655502,44116000
1999-05-24,52.968750,53.062500,48.937500,52.031250,44.926945,90417600
1999-05-31,51.937500,52.742188,49.570313,52.562500,45.385670,43091800
1999-06-07,52.929688,54.031250,51.312500,51.781250,44.711090,53971000
1999-06-14,51.968750,55.218750,50.687500,55.062500,47.544296,60015800
1999-06-21,55.437500,57.093750,54.187500,54.687500,47.220509,54659400
1999-06-28,55.156250,59.937500,54.703125,58.750000,50.728329,46258800
1999-07-05,59.062500,59.906250,57.937500,59.843750,51.672726,34746600
1999-07-12,60.062500,61.718750,58.781250,61.375000,52.994907,32409200
1999-07-19,61.625000,61.625000,56.687500,57.281250,49.460117,59914200
1999-07-26,56.500000,58.437500,55.781250,56.593750,48.866501,58595800
1999-08-02,56.687500,57.812500,53.750000,55.328125,47.773659,66962400
1999-08-09,55.531250,57.718750,52.937500,57.656250,49.783905,64909600
1999-08-16,57.625000,58.843750,56.695313,57.968750,50.053730,46992800
1999-08-23,58.500000,61.750000,58.367188,59.875000,51.699718,54283800
1999-08-30,60.125000,62.679688,58.125000,62.656250,54.101204,64262600
1999-09-06,62.531250,63.742188,61.031250,63.125000,54.505959,46241000
1999-09-13,63.062500,63.492188,60.195313,63.312500,54.667870,63236800
1999-09-20,63.500000,63.750000,58.625000,60.078125,51.875092,74231600
1999-09-27,60.937500,61.375000,58.750000,60.210938,51.989803,85999400
1999-10-04,60.531250,63.937500,60.187500,63.757813,55.052368,95595600
1999-10-11,63.937500,64.953125,59.507813,59.875000,51.699718,111602800
1999-10-18,59.937500,63.250000,57.414063,61.968750,53.507580,112902600
1999-10-25,61.687500,66.250000,60.445313,65.750000,56.772549,75726800
1999-11-01,65.750000,69.218750,65.195313,68.187500,58.877243,76452400
1999-11-08,68.437500,72.250000,68.218750,72.187500,62.331047,89229600
1999-11-15,72.250000,75.906250,71.687500,75.781250,65.434143,87397200
1999-11-22,75.937500,78.781250,74.250000,77.687500,67.080132,69552400
1999-11-29,77.531250,80.187500,73.500000,79.125000,68.321350,106067200
1999-12-06,79.429688,80.500000,77.250000,79.906250,68.995926,107852200
1999-12-13,79.632813,84.875000,77.937500,83.781250,72.341805,126878600
1999-12-20,84.406250,90.750000,83.687500,90.218750,77.900360,81253000
1999-12-27,90.312500,93.750000,87.906250,91.375000,78.898712,87492200
2000-01-03,96.187500,96.187500,79.750000,90.000000,77.711479,177901400
2000-01-10,91.000000,93.937500,86.000000,93.375000,80.625648,138336000
2000-01-17,92.062500,96.875000,91.437500,96.250000,83.108093,80414600
2000-01-24,97.437500,97.625000,84.750000,86.000000,74.257614,150765200
